,go,process,process.simple,count,genes,fold_enrichment,p_value,fdr,perc_total,group,GO.category,term,GOSlim_bin,aspect
1,GO:0055114,oxidation-reduction process,oxidation-reduction process,16,"Q9Z339, F1QH17, P49894, P24470, P11714, Q9CX98, Q64583, P10632, O42412, P34277, Q7Z449, P78417, Q0IIF9, Q9R0H0, G5EC63, Q6NT55",7.798607889,2.84E-10,8.24E-08,0.166666667,All Cohorts,BP,oxidation reduction,other metabolic processes,P
2,GO:0006805,xenobiotic metabolic process,xenobiotic metabolic process,3,"Q95JD5, P10632, O43704",27.40108696,0.004993551,0.392301958,0.03125,All Cohorts,BP,xenobiotic metabolic process,other metabolic processes,P
3,GO:0098869,cellular oxidant detoxification,cellular oxidant detoxification,3,"Q9Z339, P34277, P78417",21.0075,0.008412011,0.392301958,0.03125,All Cohorts,BP,NA,NA,NA
4,GO:0006749,glutathione metabolic process,glutathione metabolic process,3,"Q9Z339, P34277, P78417",19.09772727,0.010121503,0.392301958,0.03125,All Cohorts,BP,glutathione metabolic process,other metabolic processes,P
5,GO:0097267,omega-hydroxylase P450 pathway,omega-hydroxylase P450 pathway,2,"P10632, Q7Z449",140.05,0.013860718,0.392301958,0.020833333,All Cohorts,BP,NA,NA,NA
6,GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,negative regulation of ryanodine-sensitive calcium-release channel activity,2,"Q9Z339, P78417",140.05,0.013860718,0.392301958,0.020833333,All Cohorts,BP,negative regulation of ryanodine-sensitive calcium-release channel activity,transport,P
7,GO:0060316,positive regulation of ryanodine-sensitive calcium-release channel activity,positive regulation of ryanodine-sensitive calcium-release channel activity,2,"Q9Z339, P78417",140.05,0.013860718,0.392301958,0.020833333,All Cohorts,BP,positive regulation of ryanodine-sensitive calcium-release channel activity,transport,P
8,GO:0002591,positive regulation of antigen processing and presentation of peptide antigen via MHC class I,positive regulation of antigen processing and presentation of peptide antigen,2,"P08183, P21440",105.0375,0.018439222,0.392301958,0.020833333,All Cohorts,BP,positive regulation of antigen processing and presentation of peptide antigen via MHC class I,other biological processes,P
9,GO:0002481,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",antigen processing and presentation of exogenous protein antigen,2,"P08183, P21440",105.0375,0.018439222,0.392301958,0.020833333,All Cohorts,BP,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",other biological processes,P
10,GO:0002489,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",antigen processing and presentation of endogenous peptide antigen,2,"P08183, P21440",105.0375,0.018439222,0.392301958,0.020833333,All Cohorts,BP,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",other biological processes,P
